Language,English,Russian
STR_CFM_TurnOnFeedLocal,"Turn on feed (local)","Увімкнути трансляцію (локально)"
STR_CFM_ToggleNvg,"Toggle NVG","Перемкнути ПНБ"
STR_CFM_ToggleTi,"Toggle TI","Перемкнути ТІ"
STR_CFM_EnterFullscreen,"Enter Fullscreen","Увійти в повноекранний режим"
STR_CFM_CameraFeed,"CAMERA FEED","ТРАНСЛЯЦІЯ КАМЕРИ"
STR_CFM_FullscreenHint,"TO EXIT FULLSCREEN MOVE BY MOUSE OR KEYBOARD! %1 АБИ ВИЙТИ З ПОВНОЕКРАННОГО РЕЖИМУ ПОВОРУХНІТСЯ (МИШКОЮ АБО КЛАВІШАМИ)!","ЩОБ ВИЙТИ З ПОВНОЕКРАННОГО РЕЖИМУ, ПОВОРУХНІТЬСЯ МИШЕЮ АБО НАТИСНІТЬ КЛАВІШУ! %1 TO EXIT FULLSCREEN MOVE BY MOUSE OR KEYBOARD!"
STR_CFM_FullscreenTempCamHint,"TO EXIT FULLSCREEN PRESS 'CTRL + E' OR YOUR BIND. %1 АБИ ВИЙТИ З ПОВНОЕКРАННОГО РЕЖИМУ НАТИСНІТЬ 'CTRL + E' АБО СВІЙ БІНД.","ЩОБ ВИЙТИ З ПОВНОЕКРАННОГО РЕЖИМУ, НАТИСНІТЬ 'CTRL + E' АБО СВІЙ БІНД. %1 TO EXIT FULLSCREEN PRESS 'CTRL + E' OR YOUR BIND."
STR_CFM_CurrentFeedNotUav,"Current feed is not UAV!","Поточна трансляція не є БПЛА!"
STR_CFM_NotControllingUav,"You're not controlling any UAV!","Ви не керуєте жодним БПЛА!"
STR_CFM_CantConnectUavControlled,"Can't connect! UAV is controlled","Неможливо підключитися! БПЛА вже контролюється"
STR_CFM_CurrentUavCantFeed,"Current UAV can't feed!","Поточний БПЛА не може транслювати!"
STR_CFM_CantConnectToUav,"Can't connect to UAV!","Неможливо підключитися до БПЛА!"
STR_CFM_CantTakeUavControlsRemote,"Can't take UAV controls when remote controlling other unit!","Неможливо взяти керування БПЛА під час дистанційного керування іншим юнітом!"
STR_CFM_CantConnectToDrone,"Can't connect to drone","Неможливо підключитися до дрона"
STR_CFM_SomeoneControllingDrone,"Someone is controlling drone!","Хтось уже керує дроном!"
STR_CFM_Connecting,"Connecting...","Підключення..."
STR_CFM_HackingDrone,"Hacking drone...","Злам дрона..."
STR_CFM_FailedToHackDrone,"Failed to hack drone","Не вдалося зламати дрон"
STR_CFM_DroneHacked,"Drone hacked!","Дрон зламано!"
STR_CFM_DroneHackedMoved,"Drone hacked! But connection canceled because you moved.","Дрон зламано, але підключення скасовано, бо ви зрушили з місця."
STR_CFM_OperatorInfoTitle,"Operator Info","Інформація про оператора"
STR_CFM_resetFixHint,"If you still have no feed try reseting PIP setting value!","Якщо досі немає картинки, спробуйте переставити параметр PIP в налаштуваннях!"
STR_CFM_Name,"Name","Назва"
STR_CFM_MapPos,"Map pos","Позиція на мапі"
STR_CFM_Distance,"Distance","Відстань"
STR_CFM_Turret,"Turret","Турель"
STR_CFM_Camera,"Camera","Камера"
STR_CFM_Pilot,"Pilot","Пілот"
STR_CFM_Driver,"Driver","Водій"
STR_CFM_Gunner,"Gunner","Навідник"
